id,title,story_ref,story_type,need,type,severity,inclusion_risk,evidence,notes,candidate_fix
1,Filter selection resets on page reload,stories.md#S1,Job story,Reduce cognitive load,Usability,Medium,"Cognitive,Memory","P-A notes L5",Current implementation doesn't persist filter state in session or URL,false
2,No confirmation after form submission,stories.md#S2,Job story,Trust & feedback,Accessibility,High,"Cognitive,SR,Low digital literacy","P-A notes L12; P-B notes L8",HTMX shows status in live region (good) but no-JS path gives no feedback (PRG redirect with no message),true
3,Delete button not keyboard-accessible,stories.md#S3,Job story,Full keyboard access,Accessibility,High,"Keyboard,Motor","P-A notes L20; WCAG 2.1.1","Inline form works but focus order unclear; test with Tab-only navigation",true
4,Text contrast below 4.5:1 in default theme,stories.md#S4,Job story,Visibility,Accessibility,Medium,"Low vision,Colour-blind,Situational","P-A notes L28; WCAG 1.4.3",Pico.css default gray (#6c757d) on white = 4.2:1 (fails AA); needs adjustment,false
5,No progress indicator for completed tasks,stories.md#S5,Job story,Motivation & feedback,Usability,Low,Cognitive,"P-A notes L35; P-B notes L15",Nice-to-have; defer to Semester 2 backlog,false
6,Error messages not persistent in no-JS path,stories.md#S6,Pain point,Error recovery,Accessibility,High,"Cognitive,SR","Internal testing; WCAG 3.3.1",PRG redirect loses error context; need error summary on target page,true
7,Skip link not tested with screen reader,Internal audit,WCAG check,Bypass blocks,Accessibility,Medium,SR,"WCAG 2.4.1",Lab 1 tested keyboard focus but not SR announcement; verify with NVDA,false
8,Live region uses polite (should be assertive for errors),Internal audit,WCAG check,Error announcement,Accessibility,High,SR,"WCAG 4.1.3",Errors need aria-live=assertive so SR interrupts to announce; success messages stay polite,false
9,Prioroty scheduling,stories.md#S7,Job story,Organisation,Usability,Low,"Cognitive","P-A notes L35, P-B notes L15",Useful to have,false
10,Simple mode,stories.md#S8,Job story,Reduce cognitive load,Usability,Medium,"Memory,Cognitive","WCAG 2.5.5",Different visual version of the program,false
11,Enviromental Visibility Mode,stories.md#S10,Job story,Visibility,Accessibility,Medium,"Low vision, Situational","WCAG 1.4.3",Different visual overlay onto the screen may change depending on intensity,false
12,Clear task,stories.md#12,Job story,Organisation,Accessibility,Medium,"Organisation,Low digital literacy","WCAG 1.3.2",explaination of where data is,false
